"tree" "sp" "type" "Y" "X" "X50N" "Y50N" "X50Nc" "Y50Nc" "elev" "side" "fullname" "mlim" "dden" "fsen" "habit" "DBH" "FL2010" "FL2014" "FL2015" "dead" "mort" "Xm" "Ym" "Sum_FF" "Q1" "Q2" "Q3" "Q4" "halfLife" "seedlings" "Sum_FF2" "Sum_FF3"
"49" "12JDacu4" "Dacu" "Subcanopy" 5.853583333 117.9459833 604723.7205 647107.5693 604419.6815 647046.8843 25 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 69 1 0 1 "0" 0 502.0052 58.3097 23.9207090185429 NA NA NA NA 4761.00000050077 0 0.346676942297723 0.00342304729348696
"50" "12JDacu5" "Dacu" "Subcanopy" 5.8536 117.9465167 604782.7719 647109.5114 604478.7329 647048.8264 34 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 120 1 0 0 "0" 0 561.0566 60.2518 50.793825883027 10 3 1 0 14400.000002775 14 0.423281882358558 0.00414004207994976
"51" "12JDacu6" "Dacu" "Subcanopy" 5.8541 117.94655 604786.3655 647164.7958 604482.3265 647104.1108 40.04955 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 140 1 0 0 "0" 0 564.6502 115.5362 90.0303748695032 NA NA NA NA 19600.0009591247 0 0.643074106210737 0.00622652310565443
"52" "12JDacu7" "Dacu" "Subcanopy" 5.854383333 117.9466 604791.8484 647196.1295 604487.8094 647135.4445 34 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 95 0 0 1 "0" 0 570.1331 146.8699 108.303561681534 NA NA NA NA 0.386555798571282 0 1.14003749138456 0.0115881031195571
"53" "12JDacu8" "Dacu" "Subcanopy" 5.854766667 117.9464333 604773.3211 647238.4784 604469.2821 647177.7934 29 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 80 1 0 0 "0" 0 551.6058 189.2188 201.315131479602 NA NA NA NA 6410.01877609688 0 2.51643914349502 0.0268627147220351
"54" "12JDacu9" "Dacu" "Subcanopy" 5.85485 117.9463333 604762.2342 647247.6728 604458.1952 647186.9878 21 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 105 1 0 1 "0" 0 540.5189 198.4132 127.391335616684 22 1 7 4 11025.6527967478 34 1.21325081539699 0.0142978597994258
"55" "12KDacu1" "Dacu" "Subcanopy" 5.85465 117.9483 604980.0114 647225.9287 604675.9724 647165.2437 33 "A2" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 120 1 0 0 "0" 0 758.2961 176.6691 94.6287094244193 NA NA NA NA 14400.0000036365 0 0.788572578536827 0.00701568367382053
"56" "12KDacu10" "Dacu" "Subcanopy" 5.854366667 117.9478 604924.7076 647194.511 604620.6686 647133.826 48 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 63 0 0 0 "0" 0 702.9923 145.2514 134.728651079431 NA NA NA NA 2.7210473438591 0 2.13855001713382 0.0171324422055243
"57" "12KDacu11" "Dacu" "Subcanopy" 5.854183333 117.94785 604930.2774 647174.2516 604626.2384 647113.5666 43 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 120.5 1 0 0 "0" 0 708.5621 124.992 792.796863826831 NA NA NA NA 15222.2335668771 0 6.57922708569984 0.081952191599153
"58" "12KDacu12" "Dacu" "Subcanopy" 5.854183333 117.9478167 604926.5907 647174.2453 604622.5517 647113.5603 42 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 75 1 0 1 "0" 0 704.8754 124.9857 761.458859731173 NA NA NA NA 6327.37609211018 0 10.1527847964156 0.0834601249647467
"59" "12KDacu13" "Dacu" "Subcanopy" 5.854 117.9482667 604976.4459 647154.0608 604672.4069 647093.3758 29.92828 "A2" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 110.8 0 0 0 "0" 0 754.7306 104.8012 63.6208245094279 NA NA NA NA 9.06435415391321e-07 0 0.574195167052598 0.00539786189464163
"60" "12KDacu14" "Dacu" "Subcanopy" 5.8537 117.9482333 604972.8041 647120.8876 604668.7651 647060.2026 17.39747 "A2" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 90.7 1 0 0 "0" 0 751.0888 71.628 121.948631472881 0 1 5 1 8233.74374367576 7 1.34452735912768 0.0122624040074737
"61" "12KDacu15" "Dacu" "Subcanopy" 5.85365 117.9482833 604978.3491 647115.3691 604674.3101 647054.6841 14 "A2" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 58 0 0 0 "0" 0 756.6338 66.1095 140.699583063561 NA NA NA NA 23.9874050184196 0 2.42585488040623 0.0249579828128101
"62" "12KDacu16" "Dacu" "Subcanopy" 5.853633333 117.9481667 604965.443 647113.5046 604661.404 647052.8196 22.31154 "A2" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 110 1 0 0 "0" 0 743.7277 64.245 129.919407669675 NA NA NA NA 12107.2537436758 0 1.18108552426977 0.0123896074628024
"63" "12KDacu17" "Dacu" "Subcanopy" 5.853583333 117.94765 604908.2467 647107.8803 604604.2077 647047.1953 54.95215 "A2" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 125 1 0 0 "0" 0 686.5314 58.6207 409.903218933027 NA NA NA NA 15774.7231430335 0 3.27922575146422 0.0283948832236556
"64" "12KDacu18" "Dacu" "Subcanopy" 5.85355 117.9477 604913.7886 647104.2045 604609.7496 647043.5195 54 "A2" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 120.3 1 0 1 "0" 0 692.0733 54.9449 397.665793724561 NA NA NA NA 14621.8130181801 0 3.30561757044523 0.0274775747935437
"65" "12KDacu19" "Dacu" "Subcanopy" 5.853933333 117.9476167 604904.4946 647146.5688 604600.4556 647085.8838 40 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 57.9 0 0 0 "0" 0 682.7793 97.3092 251.224793089501 NA NA NA NA 116.711737234755 0 4.33894288582904 0.0389225588405525
"66" "12KDacu2" "Dacu" "Subcanopy" 5.85495 117.9480167 604948.5903 647259.0427 604644.5513 647198.3577 43 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 129 1 0 1 "0" 0 726.875 209.7831 104.583958982108 0 1 0 1 16641.0000003057 2 0.810728364202388 0.0077693623467596
"67" "12KDacu20" "Dacu" "Subcanopy" 5.853816667 117.9475167 604893.445 647133.652 604589.406 647072.967 49.38723 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 100.5 0 0 0 "0" 0 671.7297 84.3924 421.480320142854 NA NA NA NA 141.201364055767 0 4.19383403127218 0.0476558778653937
"68" "12KDacu21" "Dacu" "Subcanopy" 5.853966667 117.94755 604897.1038 647150.2417 604593.0648 647089.5567 39 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 60.1 0 0 0 "0" 0 675.3885 100.9821 261.177975799911 NA NA NA NA 121.594799246336 0 4.34572339101349 0.039073327741489
"69" "12KDacu22" "Dacu" "Subcanopy" 5.85405 117.9476 604902.6239 647159.464 604598.5849 647098.779 32 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 61.5 0 0 0 "0" 0 680.9086 110.2044 90.1927267394463 NA NA NA NA 0.188600236990896 0 1.46654840226742 0.0134531975665314
"70" "12KDacu23" "Dacu" "Subcanopy" 5.8539 117.9474667 604887.8938 647142.8557 604583.8548 647082.1707 44 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 128.4 0 0 0 "0" 0 666.1785 93.5961 312.871786249331 NA NA NA NA 9.48666632784421 0 2.43669615458981 0.0246606695992656
"71" "12KDacu24" "Dacu" "Subcanopy" 5.854083333 117.9476333 604906.3045 647163.1554 604602.2655 647102.4704 30 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 90.2 0 0 0 "0" 0 684.5892 113.8958 126.23298062651 NA NA NA NA 0.012367450644824 0 1.39947872091475 0.0127604333597275
"72" "12KDacu25" "Dacu" "Subcanopy" 5.853916667 117.9475667 604898.9621 647144.717 604594.9231 647084.032 42.32034 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 115 1 0 0 "0" 0 677.2468 95.4574 122.712637979278 NA NA NA NA 13225.0340290557 0 1.06706641721111 0.0110070488395474
"73" "12KDacu26" "Dacu" "Subcanopy" 5.85365 117.9475333 604895.314 647115.229 604591.275 647054.544 54 "A2" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 57.5 0 0 0 "0" 0 673.5987 65.9694 107.194357667979 NA NA NA NA 0.652615176342751 0 1.86424969857354 0.0182733445150498
"74" "12KDacu27" "Dacu" "Subcanopy" 5.853766667 117.9475 604891.6054 647128.121 604587.5664 647067.436 53 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 78 1 0 0 "0" 0 669.8901 78.8614 122.544465028197 NA NA NA NA 6085.27938123283 0 1.57108288497688 0.0154957983945948
"75" "12KDacu28" "Dacu" "Subcanopy" 5.853816667 117.9474 604880.5248 647133.6302 604576.4858 647072.9452 50.54628 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 85 1 0 0 "0" 0 658.8095 84.3706 110.191524707743 0 1 0 0 7226.25175289957 1 1.29637087891462 0.0136186740509244
"76" "12KDacu29" "Dacu" "Subcanopy" 5.853983333 117.9473833 604878.6448 647152.0531 604574.6058 647091.3681 41 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 65 0 0 0 "0" 0 656.9295 102.7935 75.3239587666779 NA NA NA NA 0.0170946590417744 0 1.15883013487197 0.0115062642838434
"77" "12KDacu3" "Dacu" "Subcanopy" 5.854783333 117.9476667 604909.8717 647240.5512 604605.8327 647179.8662 47.02588 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 120 1 0 1 "0" 0 688.1564 191.2916 100.002662100182 0 0 1 0 14400.0002781957 1 0.833355517501517 0.00751729453352949
"78" "12KDacu30" "Dacu" "Subcanopy" 5.854166667 117.9471167 604849.0944 647172.2721 604545.0554 647111.5871 37 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 100 0 0 0 "0" 0 627.3791 123.0125 78.2741514522307 NA NA NA NA 0.000124973912216159 0 0.782741514522307 0.00753990785294073
"79" "12KDacu31" "Dacu" "Subcanopy" 5.854283333 117.94695 604830.6167 647185.1391 604526.5777 647124.4541 27.84764 "A1" "Dipterocarpus_acutangulus" 40 0.64 NA "dry" 55 0 0 0 "0" 0 608.9014 135.8795 54.9865901394854 NA NA NA NA 0.0170158551376573 0 0.999756184354281 0.00983440068612753
